Product Name,Model,Price,Quantity,Status,Image,Description
Earring (hops),تراجي ( حلق ) هوبس,19.0000,0,,,
Earring (hops),تراجي ( حلق ) هوبس,20.0000,2,,,
Earring (hops),تراجي ( حلق ) هوبس,18.0000,0,,,
Earring (hops),تراجي ( حلق ) هوبس,18.0000,1,,,
Earring (hops) 1,تراجي ( حلق ) هوبس,19.0000,1,,,
Earring 1,تراجي 1 (  (دموع غزة),10.0000,1,,,
Earring 10,تراجي قياس ربع نيرة ,36.0000,1,,,
Earring 11,تراجي قياس نصف نيرة اصلية,33.0000,1,,,
Earring 15,تراجي1517,17.0000,1,,,
Earring 16,تراجي 17,26.0000,1,,,
Earring 17,تراجي اطار ربع نيرة 22,32.0000,1,,,
Earring 18,تراجي اطار حجم 1 جرام 25,25.0000,1,,,
Earring 19,تراجي 19,17.5000,1,,,
Earring 19,تراجي اطار قياس 1 جرام ,12.0000,1,,,
Earring 20,تراجي 20,22.0000,1,,,
Earring 20,تراجي اطار قياس 1 جرام ,11.0000,1,,,
Earring 21,تراجي اطار سبيكة قياس 1 جرام,12.0000,1,,,
Earring 22,تراجي نصف نيرة عيار 22,15.0000,1,,,
Earring 23,تراجي 23,30.0000,1,,,
Earring 24,تراجي 24,12.0000,1,,,
Earring 3,تراجي سبيكة 1 جرام,11.0000,1,,,
Earring 4,تراجي سبيكة 1 جرام 4,12.0000,1,,,
Earring 55,تراجي سبيكة 1 جرام 2,15.0000,1,,,
FRAME 1 ,بروزا مخمس 1,25.0000,1,,,
Frame 2,بروزا 2,21.0000,1,,,
Frame 3,بروزا 3,18.0000,1,,,
Frame 4,بروزا 4,14.0000,1,,,
Frame 5,بروزا 5,24.0000,1,,,
Frame 6,بروزا 6,11.0000,1,,,
Frame 7,بروزا 7,14.0000,1,,,
Frame 8,بروزا 8,9.0000,1,,,
full set ( kersi jaber ),كرسي جابر ( النيرات المعينة) الأصلية ,255.0000,1,,,
full set (KUWAIT ) 14,شبكة ( كويتية) 14,97.0000,1,,,
full set (KUWAIT ) 15,شبكة ( كويتية) 15,92.0000,1,,,
full set (KUWAIT kurssi ) 1,full set (KUWAIT kurssi ) 1,560.0000,1,,,
full set (KUWAIT kurssi ) 1,كرسي جابر 1,305.0000,0,,,
full set (KUWAIT kurssi ) 2,كرسي جابر 2,437.0000,0,,,
full set (KUWAIT kurssi ) 3,كرسي جابر 3,446.0000,0,,,
full set (KUWAIT Sabhaa) 1,سبحة ( كويتية) 1,80.0000,0,,,
full set (KUWAIT Sabhaa) 2,سبحة ( كويتية) 2,65.0000,1,,,
full set (KUWAIT Sabhaa) 3,سبحة ( كويتية) 2,75.0000,0,,,
full set (KUWAIT Sabhaa) 4,سبحة ( كويتية) 4,65.0000,0,,,
full set (KUWAIT Sabhaa) 5,full set (KUWAIT Sabhaa) 5,75.0000,1,,,
full set (KUWAIT) ,كرسي الأصيلة ( كويتي),205.0000,1,,,
full set (KUWAIT) ,full set (KUWAIT) ,180.0000,1,,,
full set (KUWAIT) ,كرسي جابر ( صغير) ,188.0000,0,,,
full set (KUWAIT) ,شبكة ( كويتية),100.0000,1,,,
full set (KUWAIT) ,شبكة ( كويتية),103.0000,1,,,
full set (KUWAIT) ,full set (KUWAIT) ,100.0000,1,,,
full set (KUWAIT) ,شبكة ( كويتية) 11,110.0000,1,,,
Full Set (KUWAIT),شبكة ( كويتية),154.0000,0,,,
full set (KUWAIT) ,كرسي ( مربع),175.0000,0,,,
full set (KUWAIT) ,كرسي جابر ( معين ) ,230.0000,0,,,
full set (KUWAIT) ,شبكة ( كويتية),105.0000,0,,,
full set (KUWAIT) ,كرسي كليوبترا كويتي,160.0000,0,,,
full set (KUWAIT) 10,full set (KUWAIT) 10,105.0000,1,,,
Full Set (KUWAIT) 10,شبكة ( كويتية) 10,128.0000,1,,,
Full Set (KUWAIT) 11,شبكة ( كويتية) 11,123.0000,1,,,
